date,t,confirmed,deaths,recovered,Population,s_si,i_si,s_sir,i_sir,r_sir,recovered_reliable
2021-01-20,364,97194354,2165160,52754305.0,7744776836.0,0.9874503351022057,0.012549664897794351,0.9874503351022056,0.00545850318158864,0.007091161716205711,True
2021-01-21,365,97863110,2182453,53113165.0,7744776836.0,0.987363985809752,0.012636014190247999,0.987363985809752,0.005496283869941066,0.007139730320306933,True
2021-01-22,366,98526596,2198512,53487983.0,7744776836.0,0.987278316975898,0.012721683024102051,0.9872783169758979,0.005531482947431954,0.007190200076670098,True
2021-01-23,367,99103312,2213077,53800109.0,7744776836.0,0.9872038518218706,0.012796148178129376,0.9872038518218705,0.005563765995129056,0.007232382183000321,True
2021-01-24,368,99565294,2222839,54103680.0,7744776836.0,0.9871442010391841,0.012855798960815918,0.9871442010391841,0.005582959446812394,0.007272839514003525,True
2021-01-25,369,100046846,2233981,54411423.0,7744776836.0,0.9870820233922102,0.01291797660778976,0.9870820233922102,0.005603962892546798,0.007314013715242963,True
2021-01-26,370,100608158,2251396,54733785.0,7744776836.0,0.9870095471915545,0.012990452808445518,0.9870095471915545,0.005632567331989164,0.007357885476456355,True
2021-01-27,371,101209122,2268312,55069002.0,7744776836.0,0.9869319511532534,0.013068048846746654,0.9869319511532534,0.005664696211267307,0.007403352635479347,True
2021-01-28,372,101824237,2284838,55379452.0,7744776836.0,0.986852527948037,0.013147472051962945,0.986852527948037,0.005701900511158899,0.007445571540804045,True
2021-01-29,373,102413219,2300601,55737831.0,7744776836.0,0.9867764790169352,0.013223520983064773,0.9867764790169352,0.005729640497029294,0.007493880486035479,True
2021-01-30,374,102928083,2313886,56084018.0,7744776836.0,0.9867100001485439,0.013289999851456017,0.9867100001485439,0.005749704600009988,0.007540295251446029,True
2021-01-31,375,103324692,2323435,56368503.0,7744776836.0,0.9866587902804744,0.01334120971952561,0.9866587902804743,0.005762949010039106,0.007578260709486504,True
2021-02-01,376,103767694,2333683,56633795.0,7744776836.0,0.9866015901817006,0.01339840981829938,0.9866015901817007,0.005784571582715647,0.007613838235583733,True
2021-02-02,377,104233148,2348540,56980032.0,7744776836.0,0.9865414910968778,0.013458508903122125,0.9865414910968779,0.0057980464706575315,0.0076604624324645935,True
2021-02-03,378,104758397,2364399,57305623.0,7744776836.0,0.9864736713247757,0.013526328675224335,0.9864736713247757,0.0058217784649928165,0.007704550210231519,True
2021-02-04,379,105230171,2377326,57596102.0,7744776836.0,0.9864127562061106,0.013587243793889479,0.9864127562061105,0.005843518019736004,0.007743725774153475,True
2021-02-05,380,105766676,2394507,57881062.0,7744776836.0,0.9863434830674055,0.013656516932594544,0.9863434830674055,0.005873778930406872,0.007782738002187672,True
2021-02-06,381,106201874,2406362,58172343.0,7744776836.0,0.9862872906154839,0.013712709384516086,0.9862872906154838,0.005890830680611751,0.007821878703904335,True
2021-02-07,382,106553422,2414130,58446461.0,7744776836.0,0.986241898991239,0.013758101008760945,0.986241898991239,0.005899825387815733,0.007858275620945213,True
2021-02-08,383,106893339,2423690,58659593.0,7744776836.0,0.9861980091533267,0.013801990846673377,0.9861980091533267,0.005914961395280157,0.00788702945139322,True
2021-02-09,384,107300629,2438420,59027003.0,7744776836.0,0.9861454201622395,0.01385457983776048,0.9861454201622395,0.005918208745143499,0.007936371092616981,True
2021-02-10,385,107741093,2452277,59292423.0,7744776836.0,0.9860885477681955,0.0139114522318045,0.9860885477681955,0.005939021094345191,0.00797243113745931,True
2021-02-11,386,108184860,2466147,59565005.0,7744776836.0,0.9860312488931734,0.013968751106826598,0.9860312488931734,0.0059593334936991335,0.008009417613127465,True
2021-02-12,387,108614449,2479026,59849413.0,7744776836.0,0.985975780671287,0.014024219328713011,0.985975780671287,0.005976416232530938,0.008047803096182074,True
2021-02-13,388,108994937,2489712,60093819.0,7744776836.0,0.9859266523351119,0.014073347664888094,0.9859266523351119,0.005992607273622932,0.008080740391265162,True
2021-02-14,389,109303582,2496818,60286301.0,7744776836.0,0.985886800315288,0.014113199684712,0.9858868003152881,0.006006688634817624,0.008106511049894375,True
2021-02-15,390,109584404,2504635,60572167.0,7744776836.0,0.9858505407811599,0.01414945921884017,0.9858505407811599,0.006005028031772199,0.008144431187067971,True
2021-02-16,391,109944197,2515738,60800125.0,7744776836.0,0.9858040845684608,0.014195915431539233,0.9858040845684608,0.0060206168605475875,0.008175298570991646,True
2021-02-17,392,110330576,2527093,61090708.0,7744776836.0,0.985754195590614,0.014245804409386083,0.985754195590614,0.006031519821573849,0.008214284587812233,True
2021-02-18,393,110741376,2539082,61323726.0,7744776836.0,0.9857011533908581,0.014298846609141986,0.985701153390858,0.006052926894173972,0.008245919714968014,True
2021-02-19,394,111151038,2550740,61555015.0,7744776836.0,0.9856482581288415,0.014351741871158546,0.9856482581288415,0.006074453014749204,0.008277288856409342,True
2021-02-20,395,111526248,2559836,61821235.0,7744776836.0,0.9855998112842203,0.014400188715779803,0.9855998112842203,0.006087351255991697,0.008312837459788105,True
2021-02-21,396,111845811,2566627,62035814.0,7744776836.0,0.9855585495401097,0.014441450459890308,0.9855585495401097,0.006100029865340848,0.008341420594549459,True
2021-02-22,397,112141380,2573874,62214835.0,7744776836.0,0.9855203858839762,0.014479614116023833,0.9855203858839762,0.006114142731639582,0.008365471384384251,True
2021-02-23,398,112534122,2585355,62489715.0,7744776836.0,0.985469675320158,0.014530324679842072,0.985469675320158,0.0061278785696440435,0.008402446110198029,True
2021-02-24,399,112979052,2597797,62696153.0,7744776836.0,0.9854122262794145,0.014587773720585485,0.9854122262794145,0.006157065982630465,0.00843070773795502,True
2021-02-25,400,113432016,2608800,62920743.0,7744776836.0,0.9853537398943847,0.014646260105615263,0.9853537398943847,0.006185132769395655,0.008461127336219608,True
2021-02-26,401,113873956,2619349,63178003.0,7744776836.0,0.9852966769202851,0.014703323079714881,0.9852966769202851,0.006207616438542917,0.008495706641171965,True
2021-02-27,402,114270693,2628079,63426312.0,7744776836.0,0.9852454505249478,0.01475454947505217,0.9852454505249478,0.006225654143561174,0.008528895331490994,True
2021-02-28,403,114578478,2634579,63599041.0,7744776836.0,0.9852057095477037,0.014794290452296256,0.9852057095477038,0.006242253201574367,0.008552037250721888,True
2021-03-01,404,114883979,2642087,63810138.0,7744776836.0,0.9851662634788926,0.014833736521107423,0.9851662634788926,0.0062534731504302315,0.008580263370677191,True
2021-03-02,405,115197242,2652344,64077319.0,7744776836.0,0.9851258151862389,0.014874184813761107,0.9851258151862389,0.006258098848595409,0.008616085965165698,True
2021-03-03,406,115639088,2663901,64303612.0,7744776836.0,0.9850687643493515,0.014931235650648514,0.9850687643493515,0.006284438665005841,0.008646796985642673,True
2021-03-04,407,116097496,2674306,64551095.0,7744776836.0,0.9850095750389676,0.014990424961032409,0.9850095750389676,0.006310329662802953,0.008680095298229456,True
2021-03-05,408,116546593,2684847,64774671.0,7744776836.0,0.9849515879581892,0.015048412041810833,0.9849515879581892,0.006338087725372388,0.008710324316438445,True
2021-03-06,409,116960620,2693104,65008312.0,7744776836.0,0.9848981290905204,0.015101870909479618,0.9848981290905204,0.006360312897723371,0.008741558011756247,True
2021-03-07,410,117335064,2699185,65244538.0,7744776836.0,0.9848497811512668,0.015150218848733268,0.9848497811512668,0.0063773743318741635,0.008772844516859104,True
2021-03-08,411,117640533,2706378,65515019.0,7744776836.0,0.9848103392142725,0.015189660785727513,0.9848103392142724,0.006380963202230092,0.008808697583497421,True
2021-03-09,412,118054577,2716871,65774222.0,7744776836.0,0.984756878151576,0.01524312184842404,0.9847568781515759,0.006399601311895051,0.008843520536528988,True
2021-03-10,413,118513444,2727028,66006725.0,7744776836.0,0.984697629575443,0.01530237042455693,0.984697629575443,0.006427517803819648,0.008874852620737282,True
2021-03-11,414,119003124,2737241,66276687.0,7744776836.0,0.9846344024469706,0.015365597553029351,0.9846344024469706,0.006454568938337322,0.00891102861469203,True
2021-03-12,415,119492372,2747105,66541833.0,7744776836.0,0.9845712310980267,0.015428768901973304,0.9845712310980267,0.0064822311944018425,0.008946537707571462,True
2021-03-13,416,119947968,2755757,66791884.0,7744776836.0,0.984512404871055,0.015487595128945042,0.984512404871055,0.006507653876574527,0.008979941252370515,True
2021-03-14,417,120313043,2761748,67035123.0,7744776836.0,0.984465266650325,0.015534733349675048,0.984465266650325,0.0065226116994341245,0.009012121650240923,True
2021-03-15,418,120667127,2769255,67321157.0,7744776836.0,0.9844195475795889,0.015580452420411098,0.9844195475795888,0.006530428967934177,0.00905002345247692,True
2021-03-16,419,121134161,2779868,67584724.0,7744776836.0,0.9843592444863055,0.015640755513694444,0.9843592444863055,0.006555330137339544,0.009085425376354898,True
2021-03-17,420,121679877,2790458,67846077.0,7744776836.0,0.9842887820299229,0.01571121797007709,0.9842887820299229,0.006590679509671026,0.009120538460406065,True
2021-03-18,421,122227806,2801179,68112263.0,7744776836.0,0.9842180338325761,0.015781966167423857,0.9842180338325762,0.006625673674866363,0.009156292492557496,True
2021-03-19,422,122790345,2811995,68388003.0,7744776836.0,0.9841453992025653,0.015854600797434778,0.9841453992025652,0.006661308400804126,0.009193292396630652,True
2021-03-20,423,123288792,2820738,68643633.0,7744776836.0,0.984081040085375,0.01591895991462497,0.9840810400853751,0.006691531866884124,0.009227428047740845,True
2021-03-21,424,123729261,2829290,68921223.0,7744776836.0,0.9840241670457346,0.015975832954265384,0.9840241670457346,0.006711458457832832,0.009264374496432554,True
2021-03-22,425,124150452,2837256,69251769.0,7744776836.0,0.9839697831675521,0.016030216832447926,0.983969783167552,0.006722133910689741,0.009308082921758186,True
2021-03-23,426,124656291,2848741,69561773.0,7744776836.0,0.9839044696006526,0.016095530399347455,0.9839044696006526,0.006745937049747679,0.009349593349599776,True
2021-03-24,427,125285990,2859349,69894461.0,7744776836.0,0.9838231633198734,0.016176836680126646,0.9838231633198734,0.0067829171985711685,0.009393919481555478,True
2021-03-25,428,125938183,2870902,70202834.0,7744776836.0,0.9837389526300355,0.01626104736996453,0.9837389526300355,0.006825819274000318,0.009435228095964211,True
2021-03-26,429,126578225,2883671,70563835.0,7744776836.0,0.983656310868555,0.016343689131444974,0.983656310868555,0.006860200122621067,0.009483489008823908,True
2021-03-27,430,127162758,2893881,70866244.0,7744776836.0,0.9835808363891249,0.016419163610875153,0.9835808363891249,0.006895309462213148,0.009523854148662005,True
2021-03-28,431,127655412,2901166,71192197.0,7744776836.0,0.9835172252599171,0.016482774740082903,0.983517225259917,0.006915893141171976,0.009566881598910929,True
2021-03-29,432,128114688,2909829,71492002.0,7744776836.0,0.9834579238739991,0.01654207612600085,0.9834579238739991,0.006935365361378374,0.009606710764622476,True
2021-03-30,433,128676894,2921730,71824101.0,7744776836.0,0.9833853322407081,0.01661466775929191,0.983385332240708,0.006963539962741413,0.009651127796550496,True
2021-03-31,434,129350790,2934661,72200713.0,7744776836.0,0.9832983192751611,0.0167016807248389,0.9832983192751612,0.00700025541704324,0.00970142530779566,True
2021-04-01,435,130060609,2946963,72541448.0,7744776836.0,0.9832066679577596,0.016793332042240396,0.9832066679577596,0.007046322851593655,0.009747009190646742,True
2021-04-02,436,130705394,2957615,72860143.0,7744776836.0,0.9831234137835395,0.01687658621646048,0.9831234137835395,0.00708705197867886,0.00978953423778162,True
2021-04-03,437,131245744,2966954,73221203.0,7744776836.0,0.9830536441812072,0.016946355818792763,0.9830536441812072,0.007108995929240485,0.009837359889552278,True
2021-04-04,438,131805666,2974382,73567726.0,7744776836.0,0.9829813474563491,0.017018652543650904,0.982981347456349,0.007135590756226665,0.009883061787424239,True
2021-04-05,439,132302655,2982636,73908886.0,7744776836.0,0.9829171765950675,0.017082823404932515,0.9829171765950675,0.007154645533804507,0.00992817787112801,True
2021-04-06,440,132910149,2995089,74270735.0,7744776836.0,0.9828387374078754,0.01716126259212461,0.9828387374078753,0.00718475511668055,0.00997650747544406,True
2021-04-07,441,133573288,3010448,74748600.0,7744776836.0,0.9827531133784111,0.017246886621588898,0.9827531133784111,0.007206694418948135,0.010040192202640763,True
2021-04-08,442,134409344,3024749,75138184.0,7744776836.0,0.9826451624306041,0.01735483756939591,0.9826451624306041,0.007262496026812566,0.010092341542583346,True
2021-04-09,443,135156662,3039094,75586111.0,7744776836.0,0.9825486692693646,0.0174513307306354,0.9825486692693646,0.007299300960774643,0.010152029769860757,True
2021-04-10,444,135827306,3052100,75966192.0,7744776836.0,0.9824620761997125,0.017537923800287535,0.9824620761997125,0.007335138920457333,0.010202784879830203,True
2021-04-11,445,136536918,3061223,76491875.0,7744776836.0,0.9823704516100017,0.01762954838999831,0.9823704516100017,0.0073577097451178256,0.010271838644880484,True
2021-04-12,446,137150764,3071131,76878904.0,7744776836.0,0.9822911922571502,0.017708807742849726,0.9822911922571502,0.0073857168787761825,0.010323090864073544,True
2021-04-13,447,137914588,3084925,77359023.0,7744776836.0,0.982192567853094,0.017807432146906086,0.982192567853094,0.007420567592452705,0.01038686455445338,True
2021-04-14,448,138725902,3099015,77799372.0,7744776836.0,0.9820878115744844,0.01791218842551553,0.9820878115744844,0.007466647035096054,0.010445541390419477,True
2021-04-15,449,139547133,3112671,78237140.0,7744776836.0,0.9819817748199866,0.018018225180013437,0.9819817748199865,0.007514396248253627,0.01050382893175981,True
2021-04-16,450,140406983,3126051,78733812.0,7744776836.0,0.9818707516080584,0.018129248391941657,0.9818707516080584,0.007559561913760481,0.010569686478181177,True
2021-04-17,451,141200970,3138668,79245634.0,7744776836.0,0.9817682325791937,0.01823176742080629,0.9817682325791937,0.007594365757138777,0.010637401663667511,True
2021-04-18,452,141901080,3147807,79819304.0,7744776836.0,0.9816778348808707,0.01832216511912933,0.9816778348808707,0.007609511577668395,0.010712653541460932,True
2021-04-19,453,142592012,3158941,80344519.0,7744776836.0,0.981588622239289,0.018411377760710987,0.981588622239289,0.007629471223152491,0.010781906537558495,True
2021-04-20,454,143431609,3173235,80941389.0,7744776836.0,0.9814802140801155,0.018519785919884443,0.9814802140801157,0.007658966327380437,0.010860819592504008,True
2021-04-21,455,144320851,3187988,81444901.0,7744776836.0,0.9813653957943431,0.018634604205656935,0.9813653957943431,0.007706866610094277,0.010927737595562656,True
2021-04-22,456,145220252,3201909,82070513.0,7744776836.0,0.9812492657858166,0.018750734214183367,0.9812492657858167,0.007740420578853204,0.011010313635330162,True
2021-04-23,457,146127911,3217170,82701259.0,7744776836.0,0.9811320695102854,0.018867930489714628,0.9811320695102854,0.007774204896405617,0.011093725593309013,True
2021-04-24,458,146952141,3230302,83270216.0,7744776836.0,0.9810256455270702,0.018974354472929836,0.9810256455270702,0.0078054699677081825,0.011168884505221655,True
2021-04-25,459,147680627,3241075,83797063.0,7744776836.0,0.9809315839400902,0.019068416059909825,0.9809315839400902,0.007830114447987174,0.01123830161192265,True
2021-04-26,460,148369677,3252705,84474437.0,7744776836.0,0.9808426143009913,0.01915738569900867,0.9808426143009913,0.007830120387474002,0.011327265311534666,True
2021-04-27,461,149208799,3267706,85147240.0,7744776836.0,0.9807342674734754,0.01926573252652467,0.9807342674734754,0.00784965845851262,0.011416074068012049,True
2021-04-28,462,150107590,3283651,85735590.0,7744776836.0,0.9806182162277091,0.019381783772290995,0.980618216227709,0.007887683569659928,0.011494100202631068,True
2021-04-29,463,151001625,3299390,86433460.0,7744776836.0,0.9805027790732329,0.01949722092676706,0.9805027790732329,0.007910980044667617,0.011586240882099447,True
2021-04-30,464,151892994,3313809,87111713.0,7744776836.0,0.9803876861507543,0.019612313849245687,0.9803876861507543,0.007936635658019366,0.011675678191226323,True
2021-05-01,465,152687904,3326848,87787906.0,7744776836.0,0.9802850479447953,0.019714952055204706,0.9802850479447953,0.007950280725170789,0.011764671330033918,True
2021-05-02,466,153375175,3337179,88475373.0,7744776836.0,0.9801963080088936,0.019803691991106456,0.9801963080088935,0.007948921486522223,0.011854770504584233,True
2021-05-03,467,154065632,3348864,89107310.0,7744776836.0,0.9801071566989693,0.019892843301030656,0.9801071566989693,0.007954968787947657,0.011937874513083,True
2021-05-04,468,154850588,3362923,89756178.0,7744776836.0,0.9800058037463121,0.019994196253687896,0.9800058037463121,0.007970725084427727,0.01202347116926017,True
2021-05-05,469,155692589,3377827,90461859.0,7744776836.0,0.9798970851843922,0.020102914815607734,0.9798970851843923,0.007986402230789856,0.01211651258481788,True
2021-05-06,470,156565435,3392403,91129460.0,7744776836.0,0.979784383938316,0.020215616061684028,0.979784383938316,0.008011021274570913,0.012204594787113115,True
